Original_ID,WC_Class,margin,in_test
4552,1,0.05809161,1
6360,2,0.04998797,0
4444,1,0.030790359,1
11916,3,0.022722244,0
6733,2,0.011885434,0
1765,1,0.064133525,0
5856,2,0.004385799,1
11833,3,0.05314949,0
5896,2,0.035269946,1
7963,2,0.008024454,0
6879,2,0.019246638,0
5453,2,0.012169242,0
2747,1,0.008231372,1
862,1,0.016234308,1
888,1,0.0045496523,0
8810,2,0.032343686,0
7080,2,0.01738602,1
14301,3,0.061022043,0
256,1,0.0068458915,0
2575,1,0.037201703,1
12519,3,0.02138576,0
10203,3,0.032360643,0
4787,1,0.039082795,0
7388,2,0.011212736,0
11515,3,0.04584202,0
12522,3,0.06295079,0
3727,1,0.038910925,1
8068,2,0.052816987,0
4066,1,0.013205856,0
486,1,0.048969954,0
2668,1,0.009432048,0
4512,1,0.010994732,1
5158,2,0.047135264,1
6674,2,0.0144812465,1
8842,2,0.013809085,0
2314,1,0.058568716,1
14565,3,0.062129974,0
1322,1,0.033465296,0
11151,3,0.04942113,0
8199,2,0.043016464,0
8896,2,0.018251538,1
11983,3,0.04836467,0
7045,2,0.05705577,1
9545,2,0.052805662,0
5542,2,0.05202931,0
304,1,0.04127592,1
558,1,0.018219262,1
2915,1,0.0085014105,0
13299,3,0.05300075,0
11775,3,0.06278792,1
4283,1,0.04307431,0
9245,2,0.0068903565,0
1158,1,0.010841519,1
6028,2,0.046772927,0
3179,1,0.018030137,0
5947,2,0.021657616,0
4482,1,0.021384895,1
7603,2,0.027471393,0
5406,2,0.025057852,1
8303,2,0.0064716637,1
6407,2,0.052146465,1
3446,1,0.02697575,0
8815,2,0.01778695,0
294,1,0.063406944,0
145,1,0.024986178,0
39,1,0.037246913,0
1365,1,0.0195221,0
8022,2,0.06379405,0
2422,1,0.0031174421,0
1670,1,0.036092192,0
4922,1,0.05282384,0
11823,3,0.0255948,0
1526,1,0.021125734,0
9414,2,0.030461341,0
336,1,0.051738292,1
787,1,0.01793921,1
323,1,0.06395683,0
8999,2,0.056957006,0
1113,1,0.054852307,0
9810,2,0.017929345,0
5382,2,0.0630413,0
7975,2,0.02989909,0
9175,2,0.035387397,0
4714,1,0.01988563,0
1768,1,0.014491022,0
3055,1,0.03151959,1
10185,3,0.060875207,1
8129,2,0.043375194,0
6777,2,0.008879125,0
6532,2,0.029572964,0
9575,2,0.04389903,0
270,1,0.0021121502,0
4809,1,0.041049898,0
543,1,0.024277478,1
12047,3,0.02809152,1
6865,2,0.006652713,0
3322,1,0.020018548,0
8506,2,0.015663743,0
10552,3,0.027539074,0
8625,2,0.007173836,0
2447,1,0.05926594,1
4319,1,0.05986741,0
2390,1,0.05900356,0
7911,2,0.0042116344,1
4465,1,0.022136152,1
3426,1,0.0549272,1
4165,1,0.021717638,0
8924,2,0.0008519292,1
4980,1,0.044997662,0
4137,1,0.044767708,0
9412,2,0.04796788,0
5522,2,0.00043267012,1
1929,1,0.062971234,0
8147,2,0.03752449,1
12213,3,0.0309017,0
2835,1,0.005821824,1
6732,2,0.019779503,0
4831,1,0.049826205,0
8518,2,0.0073818862,0
6786,2,0.024429053,0
5458,2,0.059586167,0
5372,2,0.061338544,0
11053,3,0.0523068,1
6819,2,0.014541239,1
8295,2,0.021423668,0
4825,1,0.014302701,0
170,1,0.0026131272,1
8253,2,0.010232091,1
9615,2,0.00091814995,1
1531,1,0.0015605986,1
3477,1,0.009767145,0
183,1,0.055892944,0
37,1,0.0038079023,0
9626,2,0.015045434,0
5237,2,0.04501623,0
8991,2,0.055475444,0
5577,2,0.06187409,0
120,1,0.018650979,0
12757,3,0.0414207,1
2187,1,0.01718244,0
2766,1,0.02771914,0
3605,1,0.01605454,0
6287,2,0.020437777,0
541,1,0.0004889965,0
8143,2,0.04157886,0
14832,3,0.028642416,0
8689,2,0.032029957,0
4604,1,0.029365331,1
3268,1,0.03277546,0
7972,2,0.051151395,0
