Round2ID,Original_ID,lon,lat,Class,RF_Pred,margin,prob_1,prob_2,prob_3,c12_mass,gap12,disagree,Human_Class,Confidence,Scene,VegBuild,Notes
1,5515,118.81382950773606,31.778127754549104,2,2,0.1533333333333333,0.4233333333333333,0.5766666666666667,0.0,1.0,0.15333333333333338,0,2,m,建筑中间的veg,max,看不清
2,4684,118.60524069876352,32.22216499948938,1,1,0.1733333333333333,0.5866666666666667,0.4133333333333333,0.0,1.0,0.1733333333333334,0,2,h,veg,veg,很清楚
3,9434,118.90222373169344,31.394008139059594,2,2,0.1733333333333333,0.4133333333333333,0.5866666666666667,0.0,1.0,0.1733333333333334,0,2,h,农田,veg,
4,9131,119.00472150561146,32.29582685278718,2,2,0.1833333333333333,0.4066666666666667,0.59,0.0033333333333333,0.9966666666666666,0.1833333333333333,0,1,h,小区建筑,build,
5,8855,119.05574581374944,31.66368238735227,2,2,0.2066666666666667,0.3966666666666666,0.6033333333333334,0.0,1.0,0.20666666666666678,0,2,m,road 和veg交界,veg,
6,3628,118.69686885774372,32.50145122132214,1,1,0.2199999999999999,0.61,0.39,0.0,1.0,0.21999999999999997,0,2,m,road边缘,,
7,9351,118.84131795543011,32.09388557691712,2,2,0.2233333333333333,0.3766666666666666,0.6,0.0233333333333333,0.9766666666666666,0.22333333333333338,0,1,h,road 中间,,
8,759,118.92890369563176,31.941171978616797,1,1,0.1733333333333333,0.5866666666666667,0.4133333333333333,0.0,1.0,0.1733333333333334,0,2,h,杂乱地面，废墟,,
9,602,118.96681260062162,32.457882930042345,1,1,0.2466666666666666,0.6233333333333333,0.3766666666666666,0.0,0.9999999999999999,0.2466666666666667,0,2,h,高架桥旁边的veg,,
10,4671,118.99537902665662,31.81432986049912,1,1,0.24,0.62,0.38,0.0,1.0,0.24,0,2,m,road 边缘,,
11,7500,119.1529435274912,31.37631132796244,2,2,0.2466666666666666,0.3766666666666666,0.6233333333333333,0.0,0.9999999999999999,0.2466666666666667,0,1,h,农村建筑,,
12,3917,118.778705380127,32.389251642335616,1,1,0.24,0.62,0.38,0.0,1.0,0.24,0,2,h,建筑旁边的veg,veg,
13,6625,119.0530508678971,32.16862540855586,2,2,0.2466666666666666,0.3766666666666666,0.6233333333333333,0.0,0.9999999999999999,0.2466666666666667,0,1,h,veg边缘的建筑,build veg,
14,8635,119.05880008571546,32.037381545546,2,2,0.2599999999999999,0.3633333333333333,0.6233333333333333,0.0133333333333333,0.9866666666666666,0.26,0,1,h,小区建筑edge,build,
15,4896,118.58053702845022,31.82870290504503,1,1,0.26,0.63,0.37,0.0,1.0,0.26,0,2,h,城市空地veg,veg,
16,5808,118.80089376764474,31.895537562183524,2,2,0.2333333333333333,0.3833333333333333,0.6166666666666667,0.0,1.0,0.2333333333333334,0,1,h,光伏电厂地面,build,
17,6008,118.72830989268788,32.203480041579695,2,2,0.2433333333333333,0.3766666666666666,0.62,0.0033333333333333,0.9966666666666666,0.2433333333333334,0,1,h,城市road,road,
18,4082,118.88982698077258,32.26303834491682,1,1,0.26,0.63,0.37,0.0,1.0,0.26,0,2,l,看不清,no,
19,7011,118.70881645102249,31.9788113890214,2,2,0.26,0.37,0.63,0.0,1.0,0.26,0,2,m,城市veg,,
20,2862,118.92647824436465,31.74893250781522,1,1,0.1866666666666667,0.5933333333333334,0.4066666666666667,0.0,1.0,0.1866666666666667,0,2,m,土路旁边的veg,veg,
21,8185,119.09500219166549,31.502973783023293,2,2,0.26,0.37,0.63,0.0,1.0,0.26,0,1,h,农村房屋,build,
