PointID,Original_ID,HC_label,lat,lon
106,4508,built(候选:be/br),28.53745536708793,115.82369725301582
119,4063,built(候选:be/br),28.636629374454724,115.8032156645379
120,1708,built(候选:be/br),28.563416678798983,115.79629863685018
127,2157,built(候选:be/br),28.851057232774053,115.6116948459636
130,1041,built(候选:be/br),28.74325939867971,115.9257458692918
137,3553,built(候选:be/br),28.51266186524623,116.3961037520568
100,14010,water(候选:we/wr/pf/tw),28.29949164832467,116.29369580966716
109,10890,water(候选:we/wr/pf/tw),28.670585692194443,116.42898209145557
110,10319,water(候选:we/wr/pf/tw),28.598989964050116,116.08277138095588
126,10584,water(候选:we/wr/pf/tw),28.367314452275693,115.67736169323275
128,13035,water(候选:we/wr/pf/tw),28.780359819913848,115.91442709671188
136,14949,water(候选:we/wr/pf/tw),28.811172034159146,116.16200278901523
149,13160,water(候选:we/wr/pf/tw),28.86471162509267,115.98763979236764
