CheckID,Original_ID,lat,lon,My_Class,My_Confidence,My_Scene
WU14,378,30.92993846328345,114.37722998252656,1,h,building
WU11,6997,30.50871842655981,113.94010976527402,1,h ,building
WU18,8367,30.682542434036932,114.59174767237432,2,h,field
WU04,2501,30.612294178818782,114.43418317153974,2,h,bare land
WU09,2208,30.866247909639377,114.83860471245036,2,h,veg
WU08,4001,30.4523042267171,114.4013946636694,2,h,veg
WU02,2602,30.63771650135937,114.051321197448,2,l,bare land
WU13,6614,30.483745261661284,114.26799484397765,2,h,bare land
WU05,9192,30.60358052056283,114.6637925581607,1,h,bulding
WU06,1804,30.548693456703127,114.18031927224756,2,h,veg
WU20,9912,30.746143156152595,114.61995477229569,1,h,building 
WU16,6224,30.845586658104622,114.58770525359576,2,m,veg
WU01,2484,30.803096345165773,114.70924731153714,2,h,rural road
WU19,442,30.615438282313207,114.25999983794895,1,h,city
WU10,1627,30.505304828480153,114.46256993451792,2,m,veg
WU03,7984,30.820613493206103,114.57764412241364,2,h,field
WU12,11090,30.670055851587673,114.80599586763682,3,h,water
WU15,7809,30.3974171628574,113.86231566166926,2,m,field
WU07,8123,30.449160123222683,114.42313389354509,1,h,city
WU17,11377,30.609509401438014,114.31461740722344,2,m,rural road
