Track,Method,n_seed_mean,WC_OA_mean,WC_OA_std,dWC_pp,WC_BE_mean,H_OA_mean,dH_pp,H_BE_mean,n_exp_mean
WC,Baseline,0.0,0.9094666666666666,0.001038517461826458,0.0,283.0,,,,
WC,PE_Human_all,150.0,0.9052888888888889,0.0013941677458984962,-0.4177777777777725,294.4,,,,15.0
WC,PE_Human_high,73.0,0.9064888888888889,0.0006028737762777816,-0.2977777777777746,289.8,,,,16.6
WC,PE_WC_all,150.0,0.907688888888889,0.0016426416544512426,-0.1777777777777656,287.4,,,,23.4
WC,PE_WC_high,73.0,0.9081777777777778,0.0019188473906598103,-0.1288888888888895,283.4,,,,21.4
WC,PE_Agree_all,48.0,0.9068444444444446,0.0020044395171163886,-0.26222222222220815,286.6,,,,12.4
WC,PE_Disagree_all,102.0,0.9059111111111111,0.001430531283504985,-0.3555555555555534,291.8,,,,17.2
WC,PE_Agree_high,28.0,0.9066222222222222,0.0015675726300931711,-0.2844444444444427,291.4,,,,5.2
WC,PE_Disagree_high,45.0,0.9072000000000001,0.0009898247756142,-0.2266666666666528,288.8,,,,8.2
Dual,Baseline_dual,0.0,0.9094666666666666,0.001038517461826458,0.0,283.0,0.6651162790697674,0.0,13.6,
Dual,PE_Human_holdout,63.0,0.9086666666666667,0.002065591117977298,-0.07999999999999119,282.0,0.6093023255813954,-5.581395348837203,16.0,11.2
Dual,PE_WC_holdout,63.0,0.9081333333333333,0.0021890862855155273,-0.13333333333332975,284.4,0.586046511627907,-7.906976744186045,16.8,12.6
