PointID,Original_ID,lon,lat,Class,margin,BoundaryScore,RF_Pred,prob_1,prob_2,prob_3,Method,Rule,Human_Class,Scene,Confidence,Notes
1,9811,120.1305947535019,30.410957706974557,2,0.3866666666666666,2735.648008814047,2,0.2966666666666667,0.6833333333333333,0.02,BAMS150,two_stage,1,建筑,h,WC_Class=2
2,8848,120.17137769173674,30.177666458060376,2,0.1999999999999999,2289.88022134892,2,0.4,0.6,0.0,BAMS150,two_stage,1,建筑,h,WC_Class=2
3,8387,119.86379336017104,30.08082816048269,2,0.34,2257.1893499563485,2,0.33,0.67,0.0,BAMS150,two_stage,2,mix,l,WC_Class=2
4,10287,118.74090253289232,29.440327344266777,3,0.3966666666666666,2233.3311256446773,3,0.3,0.0033333333333333,0.6966666666666667,BAMS150,two_stage,3,水体,l,WC_Class=3
7,12575,119.10975045383124,29.597082582699613,3,0.36,2032.204117718375,3,0.31,0.02,0.67,BAMS150,two_stage,3,水体,h,WC_Class=3
9,12610,119.11055755112194,29.599686697714823,3,0.3933333333333333,2003.3848679417576,3,0.2766666666666666,0.0533333333333333,0.67,BAMS150,two_stage,3,水体,h,WC_Class=3
10,5155,119.19230625073476,29.31501322736178,2,0.3999999999999999,1926.9009513973535,2,0.3,0.7,0.0,BAMS150,two_stage,2,荒地,h,WC_Class=2
12,6042,119.44284530252364,29.554591808761327,2,0.3333333333333333,1790.2599846992823,2,0.3333333333333333,0.6666666666666666,0.0,BAMS150,two_stage,1,建筑,h,WC_Class=2
15,9118,119.9571312634218,30.230845697223767,2,0.2199999999999999,1719.3253812340286,2,0.39,0.61,0.0,BAMS150,two_stage,2,土路,m,WC_Class=2
17,9877,120.291211573447,30.436740229265578,2,0.36,1700.9190427999754,2,0.32,0.68,0.0,BAMS150,two_stage,2,veg,m,WC_Class=2
19,10510,119.23281718380532,29.476258780555444,3,0.3133333333333333,1633.2019728204027,3,0.31,0.0666666666666666,0.6233333333333333,BAMS150,two_stage,3,水体,h,WC_Class=3
22,12546,118.99161994872335,29.593488547250537,3,0.1666666666666666,1608.3789206427557,3,0.4166666666666667,0.0,0.5833333333333334,BAMS150,two_stage,3,水体,m,WC_Class=3
26,9607,120.10068310363536,30.34933293041593,2,0.2766666666666666,1519.8452796806932,2,0.34,0.6166666666666667,0.0433333333333333,BAMS150,two_stage,1,建筑,h,WC_Class=2
27,8717,119.7630934810811,30.14927536165309,2,0.32,1510.7680418712696,2,0.34,0.66,0.0,BAMS150,two_stage,2,veg,m,WC_Class=2
30,10523,118.68305015582494,29.477516247052517,3,0.2733333333333333,1480.413245234156,3,0.36,0.0066666666666666,0.6333333333333333,BAMS150,two_stage,2,水体边缘,m,WC_Class=3
31,12515,119.18502899781552,29.589176596531864,3,0.2866666666666667,1480.0339320323728,3,0.3533333333333333,0.0066666666666666,0.64,BAMS150,two_stage,3,水体,l,WC_Class=3
35,8057,120.20533374625867,30.006802623894437,2,0.2366666666666667,1436.4592948326226,2,0.37,0.6066666666666667,0.0233333333333333,BAMS150,two_stage,3,水体,h,WC_Class=2
36,13727,119.54156979984695,29.90502364234953,3,0.3299999999999999,1432.774686241596,3,0.3266666666666666,0.0166666666666666,0.6566666666666666,BAMS150,two_stage,3,水体,h,WC_Class=3
38,6443,119.33918012123314,29.658885723300372,2,0.3233333333333333,1432.0075013064325,2,0.3366666666666666,0.66,0.0033333333333333,BAMS150,two_stage,1,路面,m,WC_Class=2
42,11962,118.96718853405152,29.54902239154558,3,0.38,1392.4771058743104,3,0.29,0.04,0.67,BAMS150,two_stage,3,水体,h,WC_Class=3
45,10074,119.22590111807142,29.379692488142023,3,0.3266666666666666,1378.7018404861128,3,0.02,0.3266666666666666,0.6533333333333333,BAMS150,two_stage,3,水体,l,WC_Class=3
47,9536,120.25330475539164,30.33172394035587,2,0.3666666666666666,1346.9248444719583,2,0.31,0.6766666666666666,0.0133333333333333,BAMS150,two_stage,1,高铁站,h,WC_Class=2
57,13199,118.78105673787856,29.676945082566828,3,0.3299999999999999,1286.498462678281,3,0.3166666666666666,0.0366666666666666,0.6466666666666666,BAMS150,two_stage,3,水体边缘,m,WC_Class=3
